,10,1701047985300
,10,1701048016407
,60,1701048569604
,11,1701048609545
,11,1701048628281
,1,1701048761010
,1,1701048792230
,1,1701049054702
,1,1701049623831
,1222,1701049641248
,10,1701049715514
,99,1701049729898
,1,1701049825282
,1,1701049943281
,1,1701049994519
,10,1701050053226
,10,1701050204760
,10,1701050239372
,10,1701050374082
,10,1701050386833
,10,1701050609322
,60,1701050658349
,60,1701050659057
,60,1701050680392
,60,1701050712580
,60,1701050721447
,60,1701050754156
,60,1701050759142
,60,1701050838968
,60,1701050865452
,60,1701050871337
,60,1701050881209
,60,1701050902987
,20,1701050907381
,30,1701051005334
,60,1701051138266
,20,1701051263632
,60,1701051352411
,60,1701051362299
,20,1701051372841
,30,1701051405638
,60,1701051524062
,60,1701051534016
,30,1701051557075
,20,1701051573035
,30,1701051583621
,30,1701051595042
